date,instrument,direction,outcome,R_result,iso_week,sample
2011-03-10,EURUSD,short,W,1,2011-W10,in_sample
2011-03-15,XAUUSD,short,W,1,2011-W11,in_sample
2011-03-15,XAUUSD,short,W,1,2011-W11,in_sample
2011-03-22,XAUUSD,short,L,-1,2011-W12,in_sample
2011-03-24,EURUSD,short,L,-1,2011-W12,in_sample
2011-03-25,EURUSD,short,W,1,2011-W12,in_sample
2011-03-25,EURUSD,short,W,1,2011-W12,in_sample
2011-03-25,EURUSD,short,W,1,2011-W12,in_sample
2011-03-30,EURUSD,short,L,-1,2011-W13,in_sample
2011-03-31,XAUUSD,long,W,1,2011-W13,in_sample
2011-04-05,EURUSD,long,AMBIG,,2011-W14,in_sample
2011-04-05,XAUUSD,long,L,-1,2011-W14,in_sample
2011-04-05,XAUUSD,long,W,1,2011-W14,in_sample
2011-04-12,XAUUSD,long,L,-1,2011-W15,in_sample
2011-04-29,XAUUSD,long,BE,0,2011-W17,in_sample
2011-05-04,EURUSD,short,W,1,2011-W18,in_sample
2011-05-04,XAUUSD,long,L,-1,2011-W18,in_sample
2011-05-10,XAUUSD,short,L,-1,2011-W19,in_sample
2011-05-11,EURUSD,short,L,-1,2011-W19,in_sample
2011-05-12,EURUSD,short,W,1,2011-W19,in_sample
2011-05-17,EURUSD,short,L,-1,2011-W20,in_sample
2011-05-17,XAUUSD,short,L,-1,2011-W20,in_sample
2011-05-17,XAUUSD,short,L,-1,2011-W20,in_sample
2011-05-17,XAUUSD,short,L,-1,2011-W20,in_sample
2011-05-19,XAUUSD,short,L,-1,2011-W20,in_sample
2011-05-24,XAUUSD,long,BE,0,2011-W21,in_sample
2011-05-25,EURUSD,short,W,1,2011-W21,in_sample
2011-05-27,XAUUSD,long,W,1,2011-W21,in_sample
2011-05-27,XAUUSD,long,W,1,2011-W21,in_sample
2011-05-27,XAUUSD,long,W,1,2011-W21,in_sample
2011-06-09,EURUSD,long,L,-1,2011-W23,in_sample
2011-06-16,XAUUSD,short,L,-1,2011-W24,in_sample
2011-06-24,EURUSD,short,W,1,2011-W25,in_sample
2011-06-27,EURUSD,short,L,-1,2011-W26,in_sample
2011-07-08,XAUUSD,long,AMBIG,,2011-W27,in_sample
2011-07-14,EURUSD,short,L,-1,2011-W28,in_sample
2011-07-18,EURUSD,short,W,1,2011-W29,in_sample
2011-07-28,XAUUSD,long,L,-1,2011-W30,in_sample
2011-07-28,XAUUSD,long,L,-1,2011-W30,in_sample
2011-08-03,EURUSD,short,L,-1,2011-W31,in_sample
2011-08-03,EURUSD,short,BE,0,2011-W31,in_sample
2011-08-12,EURUSD,short,L,-1,2011-W32,in_sample
2011-08-15,XAUUSD,long,L,-1,2011-W33,in_sample
2011-08-17,XAUUSD,long,W,1,2011-W33,in_sample
2011-08-24,EURUSD,short,L,-1,2011-W34,in_sample
2011-08-24,EURUSD,short,L,-1,2011-W34,in_sample
2011-08-25,EURUSD,short,L,-1,2011-W34,in_sample
2011-08-25,EURUSD,short,L,-1,2011-W34,in_sample
2011-08-31,ES1!,long,BE,0,2011-W35,in_sample
2011-08-31,EURUSD,short,W,1,2011-W35,in_sample
2011-09-02,XAUUSD,long,W,1,2011-W35,in_sample
2011-09-09,ES1!,short,W,1,2011-W36,in_sample
2011-09-09,NK2251!,short,W,1,2011-W36,in_sample
2011-09-09,Z1!,short,W,1,2011-W36,in_sample
2011-09-12,ES1!,short,W,1,2011-W37,in_sample
2011-09-12,XAUUSD,short,BE,0,2011-W37,in_sample
2011-09-13,XAUUSD,short,BE,0,2011-W37,in_sample
2011-09-14,EURUSD,short,W,1,2011-W37,in_sample
2011-09-15,XAUUSD,short,W,1,2011-W37,in_sample
2011-09-15,Z1!,short,L,-1,2011-W37,in_sample
2011-09-20,XAUUSD,short,L,-1,2011-W38,in_sample
2011-09-21,EURUSD,short,L,-1,2011-W38,in_sample
2011-09-21,NK2251!,short,W,1,2011-W38,in_sample
2011-09-21,XAUUSD,short,W,1,2011-W38,in_sample
2011-09-22,XAUUSD,short,BE,0,2011-W38,in_sample
2011-09-23,EURUSD,short,W,1,2011-W38,in_sample
2011-09-26,EURUSD,short,BE,0,2011-W39,in_sample
2011-09-28,NK2251!,short,W,1,2011-W39,in_sample
